2017,0000342634,9,1,1.1,3,1.2,9.1,3.1,3.2,33860,01,001,0201.00,2,5,5.1,Unnamed: 17,8,1.3,5.2,54,0,3.3,Unnamed: 31,Unnamed: 32,NA,2.1,2.2,1948,12.58,59700,122.93,507,724
2017,4186591.0,9,3,1,1,1,94,3,6,33860,1,1,201.0,4,4,7,5.0,7,4,4,64.5,2,4.0,3.0,7.5,1.79,2,4,1948,12.58,59700,122.93,507,724
2017,504713.0,7,3,1,3,1,161,3,5,33860,1,1,201.0,2,1,5,5.0,5,1,2,64.0,0,4.0,3.0,7.5,1.79,2,1,1948,12.58,59700,122.93,507,724
2017,504713.0,5,1,1,2,1,90,3,1,33860,1,1,201.0,2,2,5,5.0,5,2,1,61.0,1,4.0,3.0,7.5,1.79,2,1,1948,12.58,59700,122.93,507,724
2017,342634.0,9,1,1,3,2,41,3,1,33860,1,1,201.0,2,2,5,5.0,5,1,2,133.0,0,4.0,3.0,7.5,1.79,2,1,1948,12.58,59700,122.93,507,724
2017,504713.0,7,3,1,3,1,146,3,6,33860,1,1,201.0,2,5,3,5.0,8,1,5,64.5,2,4.0,3.0,7.5,1.79,2,4,1948,12.58,59700,122.93,507,724
2017,13303.0,3,2,1,1,1,76,3,1,33860,1,1,201.0,2,5,5,5.0,8,2,5,87.0,6,4.0,3.0,7.5,1.79,2,1,1948,12.58,59700,122.93,507,724
2017,808176.0,9,1,1,3,1,175,3,4,33860,1,1,201.0,2,5,5,5.0,8,2,5,33.0,0,4.0,3.0,7.5,1.79,2,1,1948,12.58,59700,122.93,507,724
2017,3027509990.0,7,3,1,3,1,186,3,1,33860,1,1,201.0,2,5,5,5.0,8,1,5,76.0,2,4.0,3.0,7.5,1.79,2,1,1948,12.58,59700,122.93,507,724
2017,471809999.0,7,1,1,3,1,106,3,1,33860,1,1,201.0,2,5,5,5.0,8,2,5,50.0,1,4.0,3.0,7.5,1.79,2,1,1948,12.58,59700,122.93,507,724
2017,504713.0,7,2,1,1,1,126,3,6,33860,1,1,201.0,4,4,7,5.0,7,4,4,64.5,2,4.0,3.0,7.5,1.79,2,4,1948,12.58,59700,122.93,507,724
2017,233031.0,9,2,1,1,1,92,1,1,33860,1,1,201.0,2,5,3,5.0,8,2,5,29.0,2,4.0,3.0,7.5,1.79,2,1,1948,12.58,59700,122.93,507,724
2017,4186591.0,9,2,1,1,1,147,3,6,33860,1,1,201.0,4,4,7,5.0,7,4,4,64.5,2,4.0,3.0,7.5,1.79,2,4,1948,12.58,59700,122.93,507,724
2017,504713.0,7,3,1,1,1,94,2,1,33860,1,1,201.0,2,5,5,5.0,8,1,5,53.0,9,4.0,3.0,7.5,1.79,2,1,1948,12.58,59700,122.93,507,724
2017,504713.0,7,1,2,1,1,77,3,3,33860,1,1,201.0,3,3,5,5.0,5,1,2,54.0,0,4.0,3.0,7.5,1.79,2,1,1948,12.58,59700,122.93,507,724
2017,504713.0,7,2,1,3,1,62,3,3,33860,1,1,201.0,2,5,5,5.0,8,1,5,64.5,0,4.0,3.0,7.5,1.79,2,1,1948,12.58,59700,122.93,507,724
2017,58255.0,3,1,1,2,1,3,3,3,33860,1,1,201.0,2,5,5,5.0,8,2,5,29.0,0,3.0,3.0,7.5,1.79,2,3,1948,12.58,59700,122.93,507,724
2017,504713.0,7,3,1,3,1,146,3,1,33860,1,1,201.0,2,5,3,5.0,8,1,5,12.0,6,4.0,3.0,7.5,1.79,2,1,1948,12.58,59700,122.93,507,724
2017,504713.0,7,2,1,1,1,147,2,1,33860,1,1,201.0,2,2,5,5.0,5,1,2,90.0,7,4.0,3.0,7.5,1.79,2,1,1948,12.58,59700,122.93,507,724
